targetView,camSet,coverage
2,"(3, 7)",0.16856011284722222
2,"(3, 8)",0.16890516493055555
2,"(3, 9)",0.20273980034722222
2,"(3, 10)",0.6981976996527778
2,"(3, 11)",0.18448350694444443
2,"(4, 5)",0.05082248263888889
2,"(4, 6)",0.06917643229166667
2,"(4, 7)",0.03658094618055555
2,"(4, 8)",0.037580295138888886
2,"(4, 9)",0.06674587673611111
2,"(4, 10)",0.5660731336805556
2,"(4, 11)",0.052504340277777777
2,"(5, 6)",0.053387586805555554
2,"(5, 7)",0.023965928819444444
2,"(5, 8)",0.024811197916666666
2,"(5, 9)",0.039889322916666664
2,"(5, 10)",0.5649381510416667
2,"(5, 11)",0.039889322916666664
2,"(6, 7)",0.03512912326388889
2,"(6, 8)",0.03547417534722222
2,"(6, 9)",0.0693088107638889
2,"(6, 10)",0.5658962673611111
2,"(6, 11)",0.05105251736111111
2,"(7, 8)",0.0013194444444444445
2,"(7, 9)",0.039887152777777775
2,"(7, 10)",0.5649381510416667
2,"(7, 11)",0.015923394097222224
2,"(8, 9)",0.040732421875
2,"(8, 10)",0.5649381510416667
2,"(8, 11)",0.017242838541666666
2,"(9, 10)",0.5649381510416667
2,"(9, 11)",0.055810546875
2,"(10, 11)",0.5649381510416667
2,"(0, 1, 2)",0.9991015625
2,"(0, 1, 3)",0.3349685329861111
2,"(0, 1, 4)",0.16991319444444444
2,"(0, 1, 5)",0.18375651041666666
2,"(0, 1, 6)",0.20153971354166667
2,"(0, 1, 7)",0.16991319444444444
2,"(0, 1, 8)",0.16991319444444444
2,"(0, 1, 9)",0.1996799045138889
2,"(0, 1, 10)",0.6972743055555556
2,"(0, 1, 11)",0.18583658854166665
2,"(0, 2, 3)",0.9991015625
2,"(0, 2, 4)",0.9991015625
2,"(0, 2, 5)",0.9991015625
2,"(0, 2, 6)",0.9991015625
2,"(0, 2, 7)",0.9991015625
2,"(0, 2, 8)",0.9991015625
2,"(0, 2, 9)",0.9991015625
2,"(0, 2, 10)",0.9991015625
2,"(0, 2, 11)",0.9991015625
2,"(0, 3, 4)",0.20263780381944443
2,"(0, 3, 5)",0.18708984375
2,"(0, 3, 6)",0.16890516493055555
2,"(0, 3, 7)",0.16890516493055555
2,"(0, 3, 8)",0.16890516493055555
2,"(0, 3, 9)",0.20301106770833333
2,"(0, 3, 10)",0.6981976996527778
2,"(0, 3, 11)",0.18482855902777778
2,"(0, 4, 5)",0.05142578125
2,"(0, 4, 6)",0.069208984375
2,"(0, 4, 7)",0.037582465277777775
2,"(0, 4, 8)",0.037582465277777775
